date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:42:25	28220/28220	------	200	untouched ('OK')	text/html	etag:%226e3c-505eb161ce880-gzip%22	http://www.decorationjf.ch/	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index.html	(from )
17:42:35	293/293	------	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:17%20GMT	http://www.decorationjf.ch/robots.txt		(from )
17:42:37	15212/15212	------	200	untouched ('OK')	text/css	etag:%223b6c-505eb242dfb80-gzip%22	http://www.decorationjf.ch/css/style.css	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/css/style.css	(from http://www.decorationjf.ch/)
17:42:37	885/885	------	200	untouched ('')	application/javascript	etag:%22375-4ec014f46b900-gzip%22	http://www.decorationjf.ch/js/main.js	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/js/main.js	(from http://www.decorationjf.ch/)
17:42:37	309/309	------	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:20%20GMT	http://www.decorationjf.ch/index_fichiers/about01.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about01.html	(from http://www.decorationjf.ch/)
17:42:37	309/309	------	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:20%20GMT	http://www.decorationjf.ch/index_fichiers/about02.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about02.html	(from http://www.decorationjf.ch/)
17:42:37	309/309	------	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:20%20GMT	http://www.decorationjf.ch/index_fichiers/about03.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about03.html	(from http://www.decorationjf.ch/)
17:42:37	309/309	------	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:21%20GMT	http://www.decorationjf.ch/index_fichiers/about04.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about04.html	(from http://www.decorationjf.ch/)
17:42:37	309/309	------	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:21%20GMT	http://www.decorationjf.ch/index_fichiers/about05.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about05.html	(from http://www.decorationjf.ch/)
17:42:37	309/309	------	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:21%20GMT	http://www.decorationjf.ch/index_fichiers/about06.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about06.html	(from http://www.decorationjf.ch/)
17:42:37	309/309	------	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:21%20GMT	http://www.decorationjf.ch/index_fichiers/about07.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about07.html	(from http://www.decorationjf.ch/)
17:42:37	309/309	------	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:21%20GMT	http://www.decorationjf.ch/index_fichiers/about08.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about08.html	(from http://www.decorationjf.ch/)
17:42:37	309/309	------	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:21%20GMT	http://www.decorationjf.ch/index_fichiers/about09.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about09.html	(from http://www.decorationjf.ch/)
17:42:37	92586/92586	------	200	untouched ('')	image/jpeg	etag:%22169aa-4ec014be0f8c0%22	http://www.decorationjf.ch/images/equipe.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/images/equipe.jpg	(from http://www.decorationjf.ch/)
17:42:37	85925/85925	------	200	untouched ('')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.5.2/jquery.min.js	D:/Projets/Jf%20deco/Jf%20deco/ajax.googleapis.com/ajax/libs/jquery/1.5.2/jquery.min.js	(from http://www.decorationjf.ch/)
17:42:37	301/301	------	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:22%20GMT	http://www.decorationjf.ch/js/jquery.1.5.2.js	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/js/jquery.1.5.2.html	(from http://www.decorationjf.ch/)
17:42:37	294/294	------	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:22%20GMT	http://www.decorationjf.ch/favicon.ico	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/favicon.html	(from http://www.decorationjf.ch/)
17:42:37	252/252	------	200	untouched ('OK')	text/css	date:Sat,%2028%20Sep%202019%2015:37:17%20GMT	http://fonts.googleapis.com/css?family=Droid+Serif	D:/Projets/Jf%20deco/Jf%20deco/fonts.googleapis.com/css2472.css	(from http://www.decorationjf.ch/)
17:42:37	268/268	------	200	untouched ('OK')	text/css	date:Sat,%2028%20Sep%202019%2015:37:17%20GMT	http://fonts.googleapis.com/css?family=Dancing+Script	D:/Projets/Jf%20deco/Jf%20deco/fonts.googleapis.com/cssd7fa.css	(from http://www.decorationjf.ch/)
17:42:37	35193/35193	------	200	untouched ('OK')	text/css	etag:%228979-4f510c196a5c0-gzip%22	http://www.decorationjf.ch/css/template.css	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/css/template.css	(from http://www.decorationjf.ch/)
17:42:37	2267/2267	------	200	untouched ('OK')	text/css	etag:%228db-4f510c1876380-gzip%22	http://www.decorationjf.ch/css/colorbox.css	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/css/colorbox.css	(from http://www.decorationjf.ch/)
17:42:37	930/930	------	200	untouched ('OK')	text/css	etag:%223a2-4f510c1876380-gzip%22	http://www.decorationjf.ch/css/options.css	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/css/options.css	(from http://www.decorationjf.ch/)
17:42:37	9870/9870	------	200	untouched ('')	application/javascript	etag:%22268e-4f510c29a0c00-gzip%22	http://www.decorationjf.ch/js/scripts.js	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/js/scripts.js	(from http://www.decorationjf.ch/)
17:42:37	51782/51782	------	200	untouched ('')	image/jpeg	etag:%22ca46-4f510bf068500%22	http://www.decorationjf.ch/images/Image_1.JPG	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/images/Image_1.jpg	(from http://www.decorationjf.ch/)
17:42:37	66793/66793	------	200	untouched ('')	image/jpeg	etag:%22104e9-4f510bf15c740%22	http://www.decorationjf.ch/images/Image_2.JPG	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/images/Image_2.jpg	(from http://www.decorationjf.ch/)
17:42:37	67429/67429	------	200	untouched ('')	image/jpeg	etag:%2210765-4f510bf250980%22	http://www.decorationjf.ch/images/Image_3.JPG	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/images/Image_3.jpg	(from http://www.decorationjf.ch/)
17:42:37	87028/87028	------	200	untouched ('')	image/jpeg	etag:%22153f4-4f510bf438e00%22	http://www.decorationjf.ch/images/Image_4.JPG	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/images/Image_4.jpg	(from http://www.decorationjf.ch/)
